ltable_id,rtable_id,label
771,831,1
518,991,1
646,1033,1
793,130,1
413,951,1
542,806,1
417,166,1
806,421,1
807,442,1
811,904,1
812,903,1
177,167,1
184,275,1
828,950,1
575,585,1
319,1025,1
836,1035,1
713,699,1
203,167,1
715,692,1
78,80,1
590,692,1
593,615,1
978,1049,1
473,742,1
862,1025,1
225,445,1
612,616,1
103,405,1
750,828,1
251,415,1
636,734,1
253,459,1
766,405,1
649,714,1
650,728,1
524,512,1
1044,915,1
803,694,1
804,696,1
560,512,1
566,647,1
569,646,1
829,920,1
579,693,1
580,680,1
581,675,1
582,668,1
583,660,1
584,651,1
847,999,1
849,970,1
721,894,1
853,971,1
725,687,1
601,836,1
986,916,1
858,1026,1
990,575,1
609,698,1
611,695,1
618,719,1
620,667,1
877,988,1
496,563,1
502,553,1
635,663,1
1017,1043,1
258,206,1
394,848,1
655,504,1
401,242,1
275,867,1
21,196,1
406,487,1
150,208,1
1051,298,1
668,748,1
283,532,1
929,977,1
930,987,1
931,1031,1
933,1032,1
934,1029,1
935,990,1
425,464,1
936,681,1
303,498,1
50,55,1
311,474,1
312,388,1
313,739,1
573,710,1
974,1080,1
976,975,1
980,1037,1
981,1067,1
982,1052,1
854,369,1
861,857,1
863,503,1
864,430,1
995,1019,1
869,859,1
616,486,1
1,154,1
898,1065,1
4,153,1
791,292,1
154,240,1
928,940,1
680,840,1
47,79,1
945,955,1
175,183,1
707,841,1
324,567,1
709,891,1
201,279,1
591,690,1
592,691,1
465,602,1
723,895,1
467,603,1
85,155,1
468,604,1
983,941,1
991,601,1
992,953,1
736,885,1
613,729,1
744,899,1
879,1076,1
626,472,1
627,472,1
628,473,1
119,120,1
767,805,1
662,621,1
390,393,1
777,883,1
146,140,1
147,514,1
538,1027,1
284,121,1
427,460,1
830,519,1
837,333,1
336,621,1
999,1075,1
104,113,1
1004,496,1
658,670,1
1011,517,1
756,514,1
659,672,1
120,268,1
660,671,1
250,140,1
383,1027,1
396,499,1
271,377,1
528,709,1
529,762,1
530,866,1
531,763,1
532,709,1
532,762,1
532,866,1
549,322,1
296,377,1
300,375,1
302,499,1
461,876,1
206,499,1
210,322,1
211,320,1
729,521,1
221,422,1
228,319,1
742,771,1
1007,377,1
247,326,1
249,877,1
634,525,1
687,846,1
900,935,1
903,961,1
904,932,1
521,535,1
522,537,1
520,536,1
519,538,1
866,536,1
866,794,1
1043,1088,1
790,605,1
943,1028,1
947,994,1
821,1028,1
946,933,1
444,630,1
480,792,1
481,791,1
994,933,1
482,926,1
483,793,1
997,543,1
486,542,1
487,544,1
1000,619,1
874,935,1
747,727,1
882,910,1
882,911,1
883,911,1
645,722,1
775,914,1
651,884,1
652,838,1
653,842,1
1038,1036,1
792,902,1
925,1051,1
164,73,1
426,287,1
555,411,1
694,888,1
314,417,1
315,416,1
62,59,1
447,412,1
64,72,1
65,74,1
578,730,1
708,886,1
967,1056,1
80,75,1
87,71,1
855,989,1
856,1061,1
733,887,1
738,835,1
610,721,1
873,1060,1
752,901,1
753,898,1
758,90,1
129,353,1
266,340,1
267,344,1
267,348,1
268,347,1
269,344,1
269,349,1
140,353,1
16,494,1
1040,186,1
139,919,1
289,345,1
1063,494,1
49,102,1
51,354,1
308,346,1
55,102,1
441,493,1
66,316,1
71,344,1
839,824,1
842,819,1
77,348,1
207,185,1
846,822,1
234,495,1
107,317,1
366,233,1
113,493,1
375,178,1
132,151,1
260,265,1
1030,1054,1
1031,450,1
397,288,1
785,435,1
537,642,1
415,384,1
165,23,1
165,32,1
939,151,1
1069,518,1
306,118,1
307,119,1
439,579,1
440,554,1
442,580,1
450,506,1
454,449,1
456,510,1
457,509,1
202,256,1
331,386,1
332,389,1
330,385,1
458,508,1
464,576,1
83,200,1
84,148,1
597,833,1
726,150,1
216,374,1
470,674,1
469,578,1
466,577,1
478,437,1
233,291,1
362,620,1
367,466,1
371,289,1
888,979,1
889,978,1
381,465,1
135,145,1
905,966,1
906,967,1
782,290,1
783,290,1
783,726,1
1045,526,1
1048,735,1
409,95,1
1061,1086,1
937,929,1
554,502,1
940,1017,1
429,361,1
172,260,1
1076,95,1
451,980,1
452,980,1
841,874,1
970,400,1
972,678,1
973,367,1
209,481,1
977,402,1
595,929,1
595,1012,1
596,1012,1
598,528,1
342,418,1
857,1012,1
345,419,1
351,205,1
353,205,1
484,609,1
1001,1017,1
108,203,1
364,443,1
748,648,1
370,475,1
243,312,1
377,7,1
648,458,1
1033,921,1
911,1015,1
912,1016,1
913,1002,1
916,1006,1
917,1007,1
921,1003,1
922,1003,1
