ltable_id,rtable_id,label
1024,2438,1
135,1886,1
1287,783,1
1287,2400,1
1291,701,1
1292,1633,1
397,2940,1
907,2354,1
531,3109,1
662,3117,1
921,177,1
788,43,1
788,2347,1
155,1893,1
539,2998,1
29,2002,1
417,2882,1
419,2886,1
933,2075,1
1190,2837,1
425,2354,1
561,2386,1
306,2976,1
689,251,1
689,2095,1
309,2019,1
443,2252,1
318,3116,1
320,2329,1
960,2333,1
705,2273,1
581,2583,1
1223,561,1
711,403,1
1105,792,1
1105,1955,1
851,2920,1
342,3049,1
475,2462,1
1115,792,1
993,2472,1
1124,575,1
357,2841,1
744,360,1
635,279,1
875,2475,1
1269,107,1
1015,2401,1
248,36,1
251,1791,1
895,1593,1
256,1770,1
387,2953,1
1158,912,1
765,388,1
1289,494,1
268,3128,1
1037,769,1
657,234,1
402,3047,1
403,2888,1
789,2493,1
283,2988,1
158,1911,1
37,2031,1
294,1431,1
809,2585,1
1073,3071,1
178,1548,1
305,2977,1
1332,632,1
313,3067,1
1085,985,1
448,1692,1
66,1574,1
836,2700,1
709,2786,1
73,1565,1
331,3044,1
460,2512,1
78,1607,1
846,422,1
119,1774,1
1117,1431,1
1250,534,1
481,2459,1
503,1586,1
233,2840,1
759,393,1
759,1949,1
659,238,1
914,2049,1
914,2556,1
394,603,1
1035,401,1
1294,703,1
1052,2946,1
157,1900,1
31,2006,1
1186,70,1
1186,1017,1
1058,2053,1
293,2971,1
1064,2057,1
553,923,1
302,2983,1
947,889,1
434,2233,1
183,1555,1
1080,2096,1
1082,2069,1
1084,2067,1
576,3041,1
1345,603,1
324,1449,1
1349,1017,1
712,2343,1
329,3041,1
465,70,1
465,71,1
1107,2016,1
468,2134,1
602,1853,1
347,603,1
736,75,1
480,2457,1
998,2064,1
1256,460,1
361,1017,1
368,603,1
115,889,1
627,2925,1
510,2089,1
512,3160,1
257,1769,1
518,1159,1
647,2298,1
392,2962,1
648,305,1
523,2195,1
645,332,1
645,1843,1
142,1809,1
1293,700,1
145,1843,1
534,2070,1
795,2594,1
544,1132,1
41,2043,1
426,2334,1
172,1962,1
1196,576,1
174,2430,1
50,2994,1
179,1543,1
308,3098,1
695,2768,1
823,2600,1
571,3027,1
438,2215,1
955,851,1
832,2768,1
578,2833,1
584,3220,1
219,92,1
225,2518,1
230,2334,1
486,1055,1
236,653,1
1004,794,1
238,728,1
1008,1534,1
371,2316,1
371,2518,1
372,311,1
888,375,1
505,2162,1
1021,2144,1
1022,1484,1
1022,2624,1
511,1473,1
511,1805,1
1297,689,1
1276,491,1
282,2060,1
282,2987,1
1050,760,1
1050,2345,1
1055,2280,1
1313,652,1
1317,318,1
1321,687,1
683,775,1
683,2278,1
44,2062,1
47,2076,1
1201,585,1
1203,590,1
696,418,1
1328,640,1
1212,548,1
319,3119,1
323,3106,1
453,2133,1
1353,621,1
1226,503,1
971,836,1
1230,499,1
719,446,1
1233,513,1
981,621,1
985,819,1
731,2313,1
349,2862,1
734,435,1
365,2849,1
112,1689,1
1267,471,1
1014,2835,1
1016,780,1
1020,2589,1
383,3099,1
1152,918,1
772,2860,1
516,1213,1
519,2423,1
653,2044,1
653,2061,1
782,2091,1
783,2173,1
24,1439,1
793,2570,1
1177,1163,1
667,212,1
670,224,1
927,178,1
1185,2030,1
1185,2061,1
1315,656,1
36,2037,1
679,2163,1
808,535,1
298,2966,1
1199,580,1
564,2114,1
564,2318,1
1078,2100,1
567,2203,1
441,2772,1
825,3171,1
1344,1563,1
961,9,1
579,2532,1
837,444,1
839,263,1
839,2607,1
1225,1742,1
974,2307,1
594,1037,1
1108,964,1
88,1612,1
216,485,1
348,1497,1
482,2429,1
737,2649,1
741,358,1
1255,2924,1
504,1172,1
1257,2030,1
1135,2203,1
887,2541,1
506,381,1
1144,931,1
898,2539,1
1155,914,1
1285,497,1
1157,913,1
1031,2857,1
904,152,1
906,2286,1
13,1966,1
13,2264,1
13,2813,1
912,2857,1
1043,755,1
1171,538,1
1047,747,1
791,2571,1
411,2872,1
810,2286,1
685,246,1
686,1208,1
941,1870,1
430,2261,1
690,252,1
54,2103,1
1207,538,1
56,2099,1
1081,980,1
61,2111,1
1342,646,1
1215,2685,1
1219,556,1
1224,504,1
1097,1360,1
844,2260,1
1359,609,1
848,843,1
848,2670,1
977,2670,1
1361,605,1
982,2224,1
1116,952,1
735,2931,1
483,2261,1
740,427,1
742,2617,1
359,2836,1
488,2415,1
360,2856,1
999,2265,1
747,2170,1
1131,2172,1
501,33,1
902,2605,1
6,1923,1
650,1776,1
1290,1033,1
139,3161,1
525,237,1
1304,712,1
540,2521,1
796,2181,1
673,255,1
1061,41,1
935,2179,1
1322,369,1
818,2683,1
439,2311,1
569,53,1
1213,1512,1
574,3029,1
830,237,1
830,972,1
1221,2181,1
966,103,1
71,1559,1
840,1510,1
587,2816,1
333,2154,1
464,2494,1
722,2789,1
852,2442,1
469,2480,1
1238,1089,1
476,1880,1
350,3161,1
223,82,1
479,3046,1
608,2207,1
612,2299,1
614,47,1
1258,2744,1
1258,2765,1
243,1512,1
1272,2744,1
250,2154,1
129,169,1
644,330,1
390,2955,1
777,2575,1
524,2680,1
909,169,1
911,167,1
21,1434,1
1045,754,1
1179,896,1
1311,664,1
416,2880,1
929,171,1
802,2598,1
806,2581,1
296,2968,1
938,875,1
811,2582,1
1067,12,1
817,2675,1
691,2781,1
436,2217,1
693,2782,1
950,2222,1
956,1527,1
703,2787,1
1346,604,1
707,2785,1
835,604,1
326,3113,1
451,664,1
714,518,1
979,2222,1
84,1625,1
339,3066,1
1113,948,1
1245,518,1
992,348,1
355,3144,1
613,3,1
1003,3176,1
1265,470,1
1011,948,1
1143,2196,1
126,1820,1
1280,482,1
771,366,1
132,1867,1
5,1889,1
899,2933,1
1159,2285,1
1156,2124,1
1033,2356,1
905,166,1
1163,909,1
136,1888,1
12,1808,1
144,1817,1
521,1808,1
1298,698,1
1042,2352,1
916,2356,1
14,1785,1
545,104,1
1316,659,1
551,140,1
551,1757,1
937,140,1
1063,17,1
684,244,1
815,1910,1
560,1631,1
1330,639,1
437,2211,1
1077,992,1
952,2117,1
952,2285,1
1337,651,1
184,1553,1
958,2444,1
1088,975,1
68,1578,1
72,1567,1
201,57,1
203,60,1
1100,2365,1
207,2287,1
853,639,1
853,2440,1
859,2817,1
869,2287,1
487,2404,1
746,2632,1
1002,2478,1
878,194,1
242,720,1
502,108,1
502,134,1
1271,467,1
118,1553,1
509,1961,1
128,1818,1
769,384,1
137,1890,1
651,317,1
1162,2109,1
526,110,1
528,2843,1
273,3133,1
147,1925,1
1172,1711,1
159,748,1
671,223,1
165,1503,1
1062,2063,1
1062,2126,1
1192,574,1
680,1112,1
1323,672,1
173,1967,1
563,1901,1
1208,540,1
826,2109,1
1086,2077,1
447,2157,1
959,861,1
580,264,1
197,63,1
199,1890,1
586,2530,1
206,1693,1
847,2674,1
1106,956,1
213,129,1
215,96,1
472,2492,1
473,2485,1
858,2848,1
986,539,1
861,2054,1
224,81,1
611,2530,1
1125,1676,1
231,1712,1
110,2592,1
247,1799,1
1151,2063,1
1151,2126,1
513,1093,1
513,2547,1
903,2830,1
391,2963,1
778,2362,1
1034,770,1
1038,1115,1
400,2943,1
530,1725,1
277,2991,1
790,2572,1
