ltable_id,rtable_id,label
3584,1995,1
1541,483,1
8,0,1
21,2974,1
22,1142,1
3098,1661,1
28,1573,1
2588,1913,1
31,1837,1
2591,1913,1
4129,2381,1
1057,76,1
1057,660,1
2592,1312,1
2599,1363,1
2603,1363,1
1066,76,1
3634,2986,1
1589,1995,1
55,2665,1
1081,89,1
59,1312,1
1596,526,1
67,2758,1
3141,1690,1
582,2675,1
1095,37,1
76,2831,1
77,2841,1
78,2758,1
78,2850,1
1617,2304,1
1108,1690,1
85,2292,1
2133,2870,1
3162,1704,1
2145,972,1
1636,560,1
2661,1690,1
103,56,1
1642,645,1
107,91,1
1645,569,1
1648,571,1
4216,2381,1
640,1142,1
131,1312,1
3210,1737,1
3221,1747,1
155,513,1
161,563,1
167,1716,1
2217,318,1
1711,623,1
174,2675,1
1723,632,1
3262,1083,1
1732,640,1
3781,2134,1
2246,1051,1
1225,217,1
2762,1995,1
1226,1902,1
3279,1573,1
4314,2517,1
1754,660,1
743,1995,1
2793,1363,1
2285,1083,1
4339,1690,1
3317,569,1
4342,526,1
3830,2843,1
264,1363,1
779,2304,1
3852,2182,1
781,1351,1
789,2843,1
280,2134,1
284,1509,1
3870,2193,1
3873,2304,1
1826,2733,1
1838,734,1
303,1645,1
819,2870,1
3380,2304,1
314,2542,1
2875,2182,1
3389,2098,1
1854,314,1
319,1754,1
1858,749,1
2370,1312,1
1351,318,1
2890,1516,1
333,1845,1
336,1870,1
337,1874,1
2394,475,1
2398,0,1
2405,2183,1
2929,1548,1
3445,1902,1
1914,793,1
890,2580,1
2939,1554,1
3456,556,1
3457,1913,1
2457,1202,1
3492,2304,1
935,76,1
1453,407,1
2477,1217,1
3503,1944,1
3502,854,1
1965,837,1
4018,2293,1
4017,2292,1
942,76,1
942,660,1
950,2974,1
1464,2851,1
3003,2517,1
1979,848,1
3002,2304,1
1985,2304,1
3522,1954,1
1474,427,1
1478,429,1
4044,2974,1
2510,2381,1
4049,2319,1
4055,2323,1
987,6,1
3548,1970,1
1506,645,1
482,632,1
1515,459,1
1004,20,1
3567,1954,1
