ltable_id,rtable_id,label
1036,1711,1
11,2010,1
531,1089,1
1562,2274,1
1061,1284,1
38,2090,1
1079,1398,1
1086,917,1
575,527,1
1615,142,1
1118,1205,1
1651,694,1
630,964,1
631,1190,1
142,189,1
1686,2268,1
664,1094,1
1691,324,1
1704,99,1
688,1866,1
1729,1150,1
1737,830,1
1744,308,1
1240,1711,1
233,1557,1
756,1580,1
264,1266,1
1816,2215,1
1823,2010,1
1823,2268,1
813,2088,1
814,1102,1
1328,517,1
817,196,1
1331,1686,1
1337,312,1
1864,2088,1
841,1517,1
856,855,1
2394,409,1
859,716,1
350,233,1
1894,2204,1
2428,683,1
1933,990,1
928,2268,1
2474,1924,1
438,1958,1
961,982,1
450,458,1
2516,2050,1
991,2268,1
1521,1398,1
2034,1286,1
1524,1685,1
1524,1686,1
1015,1601,1
2554,1121,1
1019,629,1
516,735,1
1557,2226,1
2581,1390,1
2590,1059,1
548,1367,1
1066,2210,1
556,711,1
45,413,1
1589,691,1
1593,2021,1
1594,880,1
1088,280,1
586,1062,1
598,238,1
612,139,1
2160,1579,1
632,200,1
633,647,1
1658,2286,1
1149,155,1
640,1050,1
2195,1932,1
156,238,1
2210,1440,1
1188,2024,1
1705,344,1
1212,2103,1
1728,999,1
1220,1801,1
1738,1318,1
718,889,1
1237,22,1
730,741,1
1758,707,1
2273,419,1
738,860,1
230,192,1
743,1785,1
2288,1393,1
753,1229,1
754,57,1
775,344,1
788,1111,1
2326,2036,1
2327,572,1
1306,2216,1
290,470,1
1317,444,1
821,1762,1
829,1001,1
1344,792,1
2369,220,1
335,202,1
1385,127,1
1390,783,1
1396,2287,1
1401,1280,1
1403,567,1
895,195,1
1409,443,1
900,1131,1
1924,1141,1
1926,1392,1
915,482,1
923,821,1
1948,405,1
1964,1525,1
950,2183,1
2490,1033,1
463,3,1
1488,1991,1
2512,30,1
2511,2286,1
2008,1236,1
993,1010,1
2022,26,1
2039,681,1
513,1717,1
1029,970,1
520,180,1
1043,1951,1
27,1418,1
1572,1362,1
1063,105,1
2090,289,1
43,672,1
557,78,1
2095,1962,1
562,235,1
570,1417,1
1596,230,1
1602,69,1
2120,769,1
87,866,1
88,652,1
615,1417,1
635,1902,1
1661,1940,1
136,550,1
2188,768,1
656,1799,1
2192,1422,1
1171,1344,1
147,463,1
670,587,1
1702,208,1
171,1130,1
690,262,1
2227,2091,1
1719,750,1
1743,50,1
1747,2105,1
1767,2028,1
1777,79,1
256,1020,1
261,1931,1
1292,1843,1
779,2002,1
1811,481,1
800,1282,1
818,1519,1
822,1085,1
310,292,1
314,1274,1
1850,2225,1
2378,1028,1
847,1191,1
1874,201,1
1372,502,1
871,2081,1
1896,222,1
1393,241,1
1397,1216,1
2423,2171,1
379,214,1
1927,2085,1
2440,1126,1
905,1791,1
1930,943,1
2443,1784,1
2448,28,1
2464,269,1
424,1813,1
1967,1265,1
1457,835,1
434,675,1
435,840,1
1983,2098,1
1985,1983,1
470,991,1
988,949,1
1503,1967,1
484,223,1
1512,1282,1
1009,1226,1
1522,2065,1
1525,1810,1
503,1339,1
2557,1368,1
2056,2209,1
1032,968,1
17,1808,1
2074,578,1
1060,1221,1
2094,1570,1
1604,1639,1
581,267,1
1609,2116,1
79,1943,1
592,1878,1
1620,1105,1
94,1609,1
2145,935,1
1634,1506,1
1126,1186,1
120,1259,1
2169,1578,1
647,1767,1
149,678,1
2201,957,1
1698,6,1
1699,257,1
168,1821,1
2216,851,1
2226,875,1
1718,1631,1
2230,2265,1
703,1297,1
194,1995,1
711,1871,1
1229,664,1
2254,121,1
1247,1458,1
745,1796,1
1265,1603,1
1275,671,1
254,529,1
1281,364,1
259,2192,1
1799,1976,1
2320,1250,1
278,164,1
1818,194,1
799,53,1
1314,693,1
2340,1068,1
1318,1929,1
1837,427,1
824,1930,1
1851,1734,1
1852,1441,1
2367,1805,1
320,1442,1
1859,807,1
2382,1078,1
341,1715,1
1367,1815,1
2396,1682,1
1892,304,1
2407,113,1
356,1052,1
362,174,1
2419,1420,1
380,1070,1
1406,1824,1
896,837,1
913,1004,1
1426,1727,1
2456,1154,1
1958,283,1
1458,1933,1
2487,469,1
440,2,1
2497,1630,1
1473,1291,1
2503,1789,1
975,1625,1
976,199,1
976,1186,1
2027,1966,1
499,165,1
1011,790,1
2574,1896,1
1040,353,1
530,1633,1
2578,1848,1
1559,1723,1
23,1149,1
2078,86,1
2042,333,1
2092,2054,1
1071,1802,1
560,1302,1
49,1913,1
2107,1934,1
579,331,1
580,33,1
73,311,1
603,2072,1
611,2092,1
2152,1166,1
111,1971,1
2159,928,1
1142,1839,1
124,1064,1
2180,852,1
1161,429,1
1693,217,1
1694,313,1
1695,21,1
1701,1189,1
683,1744,1
2221,1965,1
2224,243,1
1717,110,1
1731,1184,1
1746,1465,1
1751,804,1
1751,1273,1
1242,279,1
2274,41,1
739,1554,1
1252,1857,1
2277,2063,1
1257,2175,1
746,243,1
1768,1732,1
1778,1856,1
243,1778,1
1790,706,1
1278,688,1
1283,240,1
1312,1064,1
2337,1830,1
1826,1034,1
291,1313,1
299,335,1
2351,1981,1
2357,188,1
1346,1918,1
836,933,1
2381,212,1
865,82,1
2411,921,1
1901,1867,1
893,478,1
384,140,1
1931,1935,1
1428,1088,1
1943,1781,1
933,1883,1
425,1187,1
428,285,1
429,1364,1
943,358,1
443,1993,1
1980,1749,1
960,1098,1
1479,366,1
1993,1462,1
2517,1674,1
2013,986,1
998,2266,1
1001,1498,1
2552,1443,1
2553,1023,1
1530,306,1
2046,582,1
2050,270,1
1539,2193,1
2573,1847,1
2580,616,1
533,1008,1
32,944,1
1064,315,1
44,406,1
2608,555,1
1587,1738,1
2110,1347,1
578,2248,1
1091,1168,1
2118,1144,1
2119,1032,1
2125,1235,1
1107,1939,1
1128,134,1
105,2037,1
108,2252,1
2164,1973,1
2176,490,1
129,1662,1
1669,839,1
2208,1922,1
2209,1827,1
680,1887,1
1192,1731,1
2220,1794,1
174,965,1
1203,2158,1
2233,1304,1
1209,822,1
1722,1599,1
698,1745,1
2240,475,1
208,1018,1
2268,441,1
1251,77,1
1766,1011,1
748,618,1
2286,1359,1
1775,870,1
2287,85,1
251,724,1
766,1135,1
1795,1024,1
1797,690,1
1286,146,1
1805,1764,1
2318,1512,1
273,2285,1
805,637,1
296,1355,1
811,1104,1
1338,1925,1
828,655,1
317,1032,1
1858,1095,1
327,1055,1
1355,1746,1
1361,1906,1
2392,1427,1
869,734,1
872,1057,1
2414,1508,1
903,646,1
1932,761,1
2452,1511,1
2465,182,1
936,412,1
2473,451,1
1451,761,1
2479,1285,1
448,913,1
462,317,1
1998,1466,1
475,911,1
1502,206,1
1504,1528,1
482,2114,1
2037,1954,1
515,1075,1
2563,2056,1
8,1759,1
521,2139,1
522,537,1
12,1213,1
2576,1500,1
2068,703,1
1556,2214,1
1047,1437,1
28,1176,1
543,204,1
39,914,1
1582,1013,1
561,1992,1
563,370,1
1600,2007,1
2126,846,1
595,445,1
1632,1858,1
2146,1091,1
101,197,1
2150,1718,1
2151,998,1
106,785,1
107,799,1
2154,1162,1
623,2188,1
2173,1889,1
1670,205,1
1672,122,1
2204,1249,1
1697,390,1
164,1467,1
175,256,1
1215,215,1
2245,210,1
1226,2008,1
1245,2181,1
1255,2278,1
1259,1017,1
1787,1634,1
2303,59,1
773,1678,1
2333,2007,1
1322,1449,1
1324,1984,1
1339,703,1
1340,1228,1
2366,2008,1
839,998,1
846,435,1
334,1333,1
339,1361,1
2388,1514,1
1371,1776,1
1375,929,1
1379,1792,1
2421,373,1
2432,805,1
397,1016,1
1938,73,1
922,1316,1
413,1129,1
1448,476,1
427,902,1
1468,256,1
2500,1541,1
459,1459,1
1496,1829,1
2018,1923,1
1507,1049,1
2532,1374,1
2535,40,1
497,2022,1
1531,2022,1
2561,569,1
2052,994,1
2565,2039,1
2060,2014,1
18,1164,1
2073,2284,1
2589,431,1
31,1434,1
2083,1337,1
2600,956,1
2091,1772,1
1075,125,1
1599,1248,1
1599,1524,1
64,1256,1
2114,879,1
2114,2107,1
63,1271,1
1098,689,1
1616,1907,1
1106,1238,1
2141,861,1
2143,1073,1
104,2174,1
1649,74,1
1141,149,1
2167,1585,1
1147,819,1
1148,1402,1
638,1006,1
2182,1432,1
2183,2243,1
135,1521,1
2186,828,1
651,2014,1
1677,1394,1
2193,918,1
1690,695,1
2206,723,1
671,2290,1
2219,1807,1
1196,1183,1
1713,980,1
1207,802,1
185,254,1
707,1569,1
1741,66,1
2255,1332,1
720,1248,1
1752,1183,1
729,1021,1
732,995,1
1256,1357,1
1770,1605,1
263,847,1
266,118,1
786,720,1
792,71,1
2348,1636,1
2352,808,1
305,772,1
309,1369,1
1846,862,1
827,173,1
844,775,1
1869,302,1
1872,1174,1
2389,417,1
864,1222,1
361,980,1
363,1214,1
2417,843,1
2430,2245,1
908,136,1
2447,421,1
1434,1269,1
1435,628,1
926,494,1
2462,2107,1
1959,1970,1
430,1113,1
436,951,1
952,752,1
442,423,1
2519,1741,1
2009,1271,1
1497,1118,1
2528,506,1
483,977,1
2020,1379,1
2058,1399,1
1052,1693,1
542,1035,1
30,18,1
2593,960,1
546,1874,1
2086,14,1
2088,1647,1
2606,1153,1
558,1879,1
46,592,1
564,897,1
2615,1406,1
1603,645,1
1094,876,1
72,1087,1
602,1257,1
604,422,1
100,1058,1
1638,1642,1
2158,1518,1
1648,1645,1
113,507,1
2170,2018,1
1663,1321,1
642,452,1
2179,1254,1
134,699,1
661,1836,1
153,2211,1
665,2264,1
169,1987,1
2223,203,1
1714,1270,1
1720,521,1
1214,1536,1
1734,521,1
1222,392,1
199,543,1
2252,1247,1
1745,1754,1
725,2141,1
2267,108,1
224,633,1
2272,368,1
742,152,1
237,1972,1
750,411,1
2289,1877,1
1782,942,1
1270,766,1
2294,1795,1
1786,100,1
2298,1963,1
250,812,1
765,1672,1
2310,1477,1
781,597,1
2317,2061,1
1809,1573,1
1299,2057,1
286,548,1
1309,1208,1
798,1281,1
2355,1351,1
1377,518,1
1891,54,1
1395,1632,1
1400,2019,1
1920,291,1
898,495,1
399,658,1
1430,1475,1
1952,2018,1
929,2233,1
2466,1510,1
432,1782,1
1968,1276,1
1464,2068,1
2488,48,1
1471,777,1
1482,1405,1
970,1850,1
1484,872,1
974,395,1
466,510,1
990,1644,1
479,2263,1
486,1910,1
487,801,1
2541,119,1
501,1571,1
3,1125,1
519,743,1
525,639,1
14,2106,1
1039,568,1
2602,246,1
1085,892,1
62,1240,1
69,1479,1
1607,1607,1
2121,1893,1
1121,473,1
616,1348,1
1130,1241,1
1132,181,1
622,15,1
2172,1598,1
2177,1817,1
157,1822,1
676,1936,1
2213,1835,1
1706,1649,1
2236,2060,1
2237,2218,1
1726,1509,1
708,1608,1
197,1493,1
2247,1608,1
200,2196,1
712,376,1
2249,1828,1
1228,1353,1
206,246,1
2259,67,1
1241,1576,1
236,1714,1
757,849,1
769,864,1
1290,385,1
1298,1086,1
1305,603,1
281,2094,1
2332,975,1
804,1648,1
1325,1702,1
815,1145,1
840,1766,1
330,456,1
1868,2238,1
2383,1071,1
1877,1865,1
343,293,1
858,1139,1
2418,2100,1
1402,2005,1
1915,2084,1
892,1122,1
1404,1193,1
1919,399,1
1922,2172,1
901,2053,1
1425,2196,1
1454,568,1
951,1300,1
1478,1457,1
2514,566,1
978,179,1
2005,1382,1
1495,2271,1
2522,348,1
2524,1542,1
992,1637,1
492,2112,1
1519,1289,1
2545,1753,1
1016,1663,1
506,1378,1
511,483,1
2049,838,1
2562,497,1
1540,1408,1
1028,27,1
1037,642,1
15,1132,1
1021,1534,1
2066,1613,1
19,1409,1
537,1349,1
538,1042,1
2077,1532,1
34,1147,1
1569,95,1
2087,491,1
1577,232,1
554,153,1
1072,945,1
2096,1472,1
54,356,1
1081,1980,1
1608,247,1
1611,631,1
2132,1128,1
1621,1480,1
1109,65,1
1624,488,1
1115,1425,1
2140,781,1
606,1438,1
2147,1864,1
1637,2272,1
1125,1948,1
103,950,1
1652,1486,1
1668,260,1
652,1520,1
1679,151,1
1700,1725,1
1190,2221,1
2229,1953,1
193,536,1
1225,17,1
1243,1409,1
737,1423,1
1765,1783,1
248,1708,1
252,971,1
260,2020,1
2319,2052,1
1313,617,1
2344,63,1
1834,601,1
812,318,1
2356,461,1
2373,1389,1
328,955,1
2379,1037,1
337,732,1
862,52,1
881,467,1
374,383,1
376,1165,1
1418,1720,1
403,1894,1
408,1774,1
1442,2020,1
1444,1673,1
433,565,1
1975,858,1
953,1998,1
2489,753,1
954,884,1
444,1854,1
957,2101,1
1470,1,1
1982,2102,1
1986,501,1
1475,1416,1
2510,1065,1
2001,786,1
2520,328,1
2526,1439,1
2533,124,1
2542,1212,1
509,403,1
2566,1615,1
518,1180,1
1033,919,1
524,1224,1
2071,627,1
2585,1903,1
547,2222,1
2085,816,1
1077,55,1
2102,967,1
2109,2203,1
2115,190,1
75,719,1
1102,1669,1
2136,361,1
609,428,1
1124,29,1
1647,1621,1
634,485,1
662,500,1
1174,2044,1
1687,525,1
154,1446,1
682,1218,1
685,1876,1
179,407,1
695,420,1
1723,1336,1
190,1743,1
702,1173,1
196,712,1
1232,1352,1
2264,2170,1
1244,10,1
223,2110,1
740,1177,1
741,157,1
253,1106,1
774,826,1
2315,379,1
1807,1453,1
1815,848,1
796,1331,1
1327,540,1
1842,1293,1
1343,844,1
323,24,1
1353,84,1
2387,191,1
1365,1873,1
342,2186,1
855,1219,1
1883,715,1
1384,1495,1
1900,509,1
1902,2231,1
1912,415,1
2431,1916,1
1921,1287,1
1416,2275,1
2444,969,1
911,1709,1
1942,1683,1
921,400,1
1945,611,1
1437,721,1
925,378,1
414,1567,1
419,974,1
1443,426,1
418,1529,1
1450,1577,1
940,1201,1
1453,299,1
2482,387,1
1459,1317,1
1973,1383,1
959,1804,1
2499,814,1
1990,1489,1
2507,621,1
493,401,1
1518,1917,1
1008,282,1
2549,2256,1
1537,492,1
4,1450,1
526,418,1
2063,1944,1
1555,947,1
1045,131,1
1049,242,1
1565,135,1
1056,338,1
1578,2001,1
568,827,1
1095,1739,1
1096,2246,1
1099,1666,1
77,1651,1
81,170,1
89,310,1
92,1375,1
1633,505,1
1123,1949,1
99,2247,1
1643,1388,1
626,710,1
114,1920,1
1660,72,1
1675,1261,1
1674,466,1
660,2249,1
2197,1315,1
1175,355,1
1184,25,1
673,1322,1
677,1366,1
679,1655,1
1199,359,1
697,1590,1
2234,2168,1
1727,1937,1
195,888,1
207,1054,1
719,684,1
212,1310,1
2261,1505,1
1763,1499,1
1269,106,1
1784,1989,1
2302,346,1
268,1964,1
1295,1206,1
1297,1946,1
787,508,1
1320,1684,1
1833,981,1
298,953,1
2353,1428,1
1843,81,1
2362,107,1
2364,307,1
326,294,1
1871,402,1
1895,1350,1
874,1654,1
889,1945,1
2429,436,1
2446,1581,1
410,973,1
1440,1031,1
2467,714,1
935,1171,1
944,680,1
945,859,1
1460,75,1
1462,290,1
441,1363,1
1987,532,1
1999,83,1
465,1003,1
2007,1198,1
2529,1568,1
2030,2208,1
2546,1846,1
2035,1737,1
1012,2167,1
1529,1656,1
2043,1737,1
510,2097,1
2061,1127,1
2065,61,1
2587,440,1
2082,273,1
1069,905,1
2611,1237,1
569,130,1
574,514,1
78,1667,1
1104,1561,1
97,309,1
610,1595,1
1635,1695,1
1641,1120,1
1650,1079,1
119,1478,1
2184,486,1
2205,1482,1
669,2099,1
1696,380,1
165,341,1
166,209,1
2215,701,1
1703,729,1
2217,1628,1
1189,1969,1
1198,2093,1
691,622,1
183,580,1
188,749,1
700,132,1
1724,1763,1
215,1777,1
1239,1832,1
1764,1429,1
229,576,1
1258,11,1
752,1277,1
758,137,1
247,2035,1
761,1376,1
1789,1306,1
1792,938,1
2304,123,1
2307,1942,1
785,1329,1
1812,1138,1
790,1169,1
2331,1014,1
2341,1046,1
301,1968,1
820,64,1
1336,1063,1
832,1412,1
837,1584,1
1867,1610,1
331,1701,1
1358,2157,1
1364,1338,1
348,162,1
1889,996,1
2403,1296,1
369,1200,1
370,700,1
1910,1516,1
1398,1996,1
1916,31,1
1421,1029,1
917,1586,1
918,47,1
415,1468,1
1971,886,1
2493,787,1
962,574,1
1988,389,1
1991,2190,1
2504,1704,1
456,941,1
972,1513,1
1992,227,1
2523,1376,1
488,2062,1
1017,1977,1
505,1788,1
2045,1188,1
1042,1638,1
2079,666,1
544,1658,1
2596,1681,1
2084,1619,1
1062,2122,1
1070,1039,1
1585,748,1
2609,1343,1
58,820,1
1090,1692,1
2117,1606,1
583,288,1
84,1627,1
2134,1564,1
90,2262,1
93,1712,1
1630,2180,1
618,1298,1
1657,1005,1
126,1319,1
639,218,1
1666,1158,1
1156,1726,1
152,398,1
155,659,1
158,1044,1
173,1895,1
1711,80,1
2241,2228,1
710,94,1
2248,2126,1
735,1403,1
227,686,1
2290,1555,1
1274,1262,1
762,2082,1
