id,title,authors,venue,year
0,towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",vldb,1995
1,sql/xml is making good progress,"a eisenberg , j melton",sigmod record,2002
2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995
3,editor 's notes,l liu,sigmod record,2002
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),,,2002
5,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995
6,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995
7,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002
8,mining the world wide web : an information search approach - book review,,,2002
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"f moser , a kraiss , w klas",vldb,1995
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002
11,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995
12,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002
13,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995
14,reminiscences on influential papers,,,2002
15,type classification of semi-structured documents,"m tresch , n palmer , a luniewski",vldb,1995
16,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002
17,managing intra-operator parallelism in parallel database systems,"m mehta , d dewitt",vldb,1995
18,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002
19,mining generalized association rules,"r srikant , r agrawal",vldb,1995
20,sampling-based estimation of the number of distinct values of an attribute,"p haas , j naughton , s seshadri , l stokes",vldb,1995
21,book review column,k aberer,sigmod record,2002
22,processing object-oriented queries with invertible late bound functions,"s flodin , t risch",vldb,1995
23,databases and transaction processing : an application-oriented approach - book review,a kemper,sigmod record,2002
24,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002
26,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995
27,a multi-agent system infrastructure for software component market-place : an ontological perspective,"r erdur , o dikenelli",sigmod record,2002
28,improving performance in replicated databases through relaxed coherency,"r gallersdіrfer , m nicola",vldb,1995
29,an active functionality service for e-business applications,"m cilia , a buchmann",sigmod record,2002
30,contracting in the days of ebusiness,"w hќmmer , w lehner , h wedekind",sigmod record,2002
31,redo recovery after system crashes,"d lomet , m tuttle",vldb,1995
32,db2 query parallelism : staging and implementation,y wang,vldb,1995
33,david dewitt speaks out,m winslett,ecord,2002
34,a product specification database for visual prototyping,"k sumiya , k yasutake , h tanaka , n sanada , y imai",vldb,1995
35,from ternary relationship to relational tables : a case against common beliefs,r camps,sigmod record,2002
36,database de-centralization - a practical approach,"t didriksen , c galindo-legaria , e dahle",vldb,1995
37,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
38,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmod record,2002
39,benchmarking spatial join operations with spatial output,"e hoel , h samet",vldb,1995
40,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002
41,bigsur : a system for the management of earth science data,"p brown , m stonebraker",vldb,1995
42,editor 's notes,l liu,sigmod record,2002
43,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995
44,research activities in database management and information retrieval at the university of illinois at chicago,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",sigmod record,2002
45,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995
46,interviewing during a tight job market,,,2002
47,"db2 common server : technology , progress , & directions",b lindsay,vldb,1995
48,investigating xquery for querying across database object types,n wiegand,sigmod record,2002
49,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995
50,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002
51,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995
52,chair 's message,,,2002
53,the double life of the transaction abstraction : fundamental principle and evolving system concept,h korth,vldb,1995
54,combining fuzzy information : an overview,r fagin,sigmod record,2002
55,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,1995
56,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995
57,a brief survey of web data extraction tools,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,2002
58,value-cognizant speculative concurrency control,"a bestavros , s braoudakis",vldb,1995
59,data warehousing and business intelligence for e-commerce - book review,f goethals,sigmod record,2002
60,data mining : concepts and techniques - book review,"f galiano , n marэn",sigmod record,2002
61,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"k wu , p yu , j chung , j teng",vldb,1995
62,hot block clustering for disk arrays with dynamic striping,"k mogi , m kitsuregawa",vldb,1995
63,book review column,k aberer,sigmod record,2002
64,tods perceptions and misconceptions,r snodgrass,sigmod record,2002
65,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994
66,the cougar approach to in-network query processing in sensor networks,"y yao , j gehrke",sigmod record,2002
67,dalэ : a high performance main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,1994
68,introduction to constraint databases - book review,,,2002
69,"fast , randomized join-order selection - why use transformations ?","c galindo-legaria , a pellenkoft , m kersten",vldb,1994
70,foundations of statistical natural language processing - book review,,,2002
71,bulk loading into an oodb : a performance study,"j wiener , j naughton",vldb,1994
72,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994
73,automata theory for xml researchers,f neven,sigmod record,2002
74,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002
75,fast incremental indexing for full-text information retrieval,"e brown , j callan , w croft",vldb,1994
76,chair 's message,,,2002
77,a transaction replication scheme for a replicated database with node autonomy,"a fu , d cheung",vldb,1994
78,treasurer 's message,,,2002
79,a top-down approach for two level serializability,"m ouzzani , m atroun , n belkhodja",vldb,1994
80,access to objects by path expressions and rules,"j frohn , g lausen , h uphoff",vldb,1994
81,report on the mobile search workshop at www 2002,,,2002
82,graphdb : modeling and querying graphs in databases,r gќting,vldb,1994
83,report on the web dynamics workshop at www 2002,,,2002
84,report on the 24th european colloquium on information retrieval research,,,2002
85,database graph views : a practical model to manage persistent graphs,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,1994
86,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994
87,sql/med - a status report,"j melton , j michels , v josifovski , k kulkarni , p schwarz",sigmod record,2002
88,hector garcia-molina speaks out,m winslett,,2002
89,2q : a low overhead high performance buffer management replacement algorithm,"t johnson , d shasha",vldb,1994
90,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994
91,toward autonomic computing with db2 universal database,"s lightstone , g lohman , d zilio",sigmod record,2002
92,reminiscences on influential papers,,,2002
93,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom",vldb,1994
94,report on the semantic web workshop at www 2002,,,2002
95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994
96,ontologies : a silver bullet for knowledge management and electronic commerce - book review,,,2002
97,opossum : desk-top schema management through customizable visualization,"e haber , y ioannidis , m livny",vldb,1995
98,the grid : an application of the semantic web,"c goble , d roure",sigmod record,2002
99,querying shapes of histories,"r agrawal , g psaila , e wimmers , m zaяt",vldb,1995
100,interview with david maier,,,2002
101,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb,1995
102,small worlds : the dynamics of networks between order and randomness - book review,,,2002
103,flexible relations - operational support of variant relational structures,"c kalus , p dadam",vldb,1995
104,query processing in tertiary memory databases,s sarawagi,vldb,1995
105,"agents , turst , and information access on the semantic web","t finin , a joshi",sigmod record,2002
106,methodology for development and employment of ontology based knowledge management applications,"y sure , s staab , r studer",sigmod record,2002
107,near neighbor search in large metric spaces,s brin,vldb,1995
108,scientific journals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,1995
109,acm-sigmod digital review,h jagadish,sigmod record,2000
110,querying multiple bioinformatics data sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002
111,the p operator : discovering and ranking associations on the semantic web,"k anyanwu , a sheth",sigmod record,2002
112,similarity based retrieval of pictures using indices on spatial relationships,"a sistla , c yu , c liu , k liu",vldb,1995
113,clustering validity checking methods : part ii,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002
114,providing database migration tools - a practicioner 's approach,a meier,vldb,1995
115,editor 's notes,l liu,sigmod record,2002
116,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,1995
117,"very large databases : how large , how different ?",d vaskevitch,vldb,1995
118,book review column,k aberer,sigmod record,2002
119,a study on the management of semantic transaction for efficient data retrieval,"s huang , i kwan , c li",sigmod record,2002
120,promises and realities of active database systems,"e simon , a dittrich",vldb,1995
121,os support for vldbs : unix enhancements for the teradata data base,"j catozzi , s rabinovici",vldb,1995
122,reminiscences on influential papers,,,2002
123,parameterized complexity for the database theorist,m grohe,sigmod record,2002
124,managing a db2 parallel edition database,g fecteau,vldb,1995
125,research in information managment at dublin city university,"m roantree , a smeaton",sigmod record,2002
126,the oracle warehouse,g hallmark,vldb,1995
127,informix-online xps : a dynamically scalable rdbms for open parallel platforms,h spintzik,vldb,1995
128,report on the edbt '02 panel on scientific data integration,,,2002
129,supporting exceptions to schema consistency to ease schema evolution in oodbms,"e amiel , m bellosta , e dujardin , e simon",vldb,1994
130,wrapping web data into xml,"w han , d buttler , c pu",sigmod record,2001
131,on database theory and xml,d suciu,sigmod record,2001
132,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994
133,xquery formal semantics : state and challenges,p fankhauser,sigmod record,2001
134,towards automated performance tuning for complex workloads,"k brown , m mehta , m carey , m livny",vldb,1994
135,why and how to benchmark xml databases,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",sigmod record,2001
136,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994
137,the evolution of effective b-tree : page organization and techniques : a personal account,d lomet,sigmod record,2001
138,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"w hasan , r motwani",vldb,1994
139,the ecobase project : database and web technologies for environmental information systems,"a tanaka , p valduriez",sigmod record,2001
140,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994
141,semantic integration in heterogeneous databases using neural networks,"w li , c clifton",vldb,1994
142,xml document versioning,"s chien , v tsotras , c zaniolo",sigmod record,2001
143,providing dynamic security control in a federated database,"n idris , w gray , r churchhouse",vldb,1994
144,"preservation of digital data with self-validating , self-instantiating knowledge-based archives","b ludфscher , r marciano , r moore",sigmod record,2001
145,"semantic web workshop : models , architectures and management",,,2001
146,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994
147,towards event-driven modelling for database design,"m teisseire , p poncelet , r cicchetti",vldb,1994
148,reminiscences on influential papers,,,2001
149,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",,,2001
150,new concurrency control algorithms for accessing and compacting b-trees,"v setzer , a zisman",vldb,1994
151,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994
152,report on the 2001 sigmod and pods awards,,,2001
153,constraints for semi-structured data and xml,"p buneman , w fan , j simщon , s weinstein",sigmod record,2001
154,indexing multiple sets,"c kilger , g moerkotte",vldb,1994
155,editor 's notes,,,2001
156,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994
157,performance of data-parallel spatial operations,"e hoel , h samet",vldb,1994
158,sql/xml and the sqlx informal group of companies,"a eisenberg , j melton",sigmod record,2001
159,eiha ?!? : deploying web and wap services using xml technology,"c biancheri , j pazzaglia , g paddeu",sigmod record,2001
160,the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel",vldb,1994
161,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001
162,a requirement-based approach to data modeling and re-engineering,"a muntz , c ramiller",vldb,1994
163,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001
164,from nested-loop to join queries in oodb,"h steenhagen , p apers , h blanken , r by",vldb,1994
165,dimacs summer school tutorial on new frontiers in data mining,"d gunopulos , n koudas",sigmod record,2001
166,"composite events for active databases : semantics , contexts and detection","s chakravarthy , v krishnaprasad , e anwar , s kim",vldb,1994
167,report on the 8th international workshop on knowledge representation meets databases ( krdb ),,,2001
168,a low-cost storage server for movie on demand databases,"b жzden , a biliris , r rastogi , a silberschatz",vldb,1994
169,editor 's notes,l liu,sigmod record,2001
170,content-based image indexing,t chiueh,vldb,1994
171,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994
172,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth , j miller , k kochut , i arpinar",sigmod record,2001
173,on the academic interview circuit : an end-to-end discussion,u чetintemel,sigmod record,2001
174,cumulative updates,"s sripada , b wќthrich",vldb,1994
175,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994
176,introduction to the career forum column,a labrinidis,sigmod record,2001
177,challenges for global information systems,"a levy , a silberschatz , d srivastava , m zemankova",vldb,1994
178,continuous queries over data streams,"s babu , j widom",sigmod record,2001
179,data analysis and mining in the life sciences,n huyn,sigmod record,2001
180,building a laboratory information system around a c++ - based object-oriented dbms,"n goodman , s rozen , l stein",vldb,1994
