ltable_id,rtable_id,label
514,7908,1
1031,24384,1
2055,3744,1
10,26207,1
527,28733,1
1043,7198,1
1558,27899,1
29,23471,1
2080,25394,1
546,3345,1
2597,5579,1
2609,8769,1
583,13320,1
1609,7292,1
2134,7033,1
2135,5594,1
2142,28434,1
95,26863,1
610,10890,1
610,21742,1
1640,23976,1
1131,9951,1
2162,23471,1
626,19779,1
1149,8168,1
1154,18542,1
1682,11053,1
2196,22008,1
2196,29764,1
1688,6881,1
665,21283,1
1703,19060,1
2221,5110,1
1715,5776,1
1206,19396,1
1724,222,1
1212,27781,1
702,7219,1
204,8178,1
1264,293,1
757,10999,1
765,3412,1
259,3744,1
778,14931,1
1296,5776,1
786,9358,1
787,8168,1
1817,5659,1
2332,14778,1
2344,20557,1
2347,12628,1
827,15295,1
827,19614,1
1857,19488,1
834,3412,1
1346,19768,1
1370,6881,1
859,26191,1
1410,17345,1
903,25436,1
2445,8168,1
912,9669,1
919,24285,1
2455,3228,1
2476,3997,1
428,166,1
446,3744,1
450,28005,1
2498,3228,1
966,9358,1
1990,10007,1
1990,12267,1
454,15573,1
1485,5659,1
461,6044,1
2513,61,1
471,7198,1
478,830,1
497,18140,1
498,16262,1
7,28335,1
8,16621,1
519,13121,1
2572,13443,1
1040,15426,1
1554,26143,1
21,6703,1
2598,6703,1
1064,3418,1
1064,19507,1
51,6381,1
1078,13443,1
570,15455,1
1596,29836,1
1084,10906,1
63,6703,1
71,6381,1
1099,22216,1
1102,4120,1
1618,7492,1
101,21928,1
118,6703,1
1148,13121,1
1152,15099,1
656,1408,1
2203,8195,1
168,22156,1
176,29128,1
1713,17292,1
1209,8384,1
1214,27357,1
1733,13136,1
198,6853,1
202,6703,1
716,23207,1
1229,11605,1
207,409,1
1235,17151,1
2273,10744,1
1259,26088,1
2312,4305,1
1301,13515,1
790,1983,1
792,17599,1
2349,17292,1
1329,20343,1
311,21298,1
2367,26184,1
2368,26886,1
1354,6969,1
1356,20027,1
1877,6703,1
2390,22990,1
2409,1408,1
2411,3595,1
1901,13424,1
1903,18266,1
1392,13515,1
2423,18275,1
2422,18275,1
408,9132,1
1434,1408,1
1949,5871,1
2462,26088,1
1980,6703,1
1489,10778,1
2514,26672,1
1491,15455,1
1491,22490,1
495,14678,1
1520,26143,1
1017,8339,1
533,22130,1
539,6512,1
1583,26463,1
2113,16129,1
1101,19354,1
2130,6665,1
1623,5867,1
2136,11084,1
608,28961,1
1121,20985,1
1639,7206,1
2176,4633,1
1161,22454,1
142,372,1
1171,29790,1
1693,6903,1
1192,28743,1
2216,28828,1
2219,8466,1
695,29790,1
699,7044,1
197,22909,1
2246,6250,1
213,11090,1
727,13428,1
217,29375,1
223,27368,1
1250,13816,1
2281,28828,1
1258,9664,1
748,2050,1
2286,591,1
1779,6160,1
1270,2616,1
2294,24728,1
2294,29326,1
1788,4540,1
1277,3459,1
1285,19326,1
266,8719,1
1305,27582,1
286,11121,1
1310,18456,1
801,20029,1
1828,10586,1
2340,2128,1
805,7363,1
2341,11482,1
298,13440,1
317,5616,1
1341,1832,1
2374,29277,1
1871,14016,1
1872,10629,1
2395,26463,1
357,3682,1
2412,12765,1
2425,17479,1
897,19938,1
400,7044,1
403,2398,1
1429,22917,1
1944,1750,1
2460,16931,1
2463,11438,1
2463,20941,1
2464,16223,1
2468,22289,1
427,8452,1
943,11389,1
2482,1698,1
1463,18318,1
440,14662,1
2490,27234,1
447,7552,1
2495,28743,1
2506,13968,1
2002,802,1
2006,799,1
2011,664,1
2013,25024,1
491,15443,1
1516,11847,1
493,23657,1
504,29640,1
2567,3253,1
2578,5787,1
530,9660,1
530,14527,1
1048,17313,1
2586,23661,1
2077,8714,1
543,8019,1
1056,3533,1
554,27110,1
47,12716,1
48,24475,1
571,14282,1
2109,21949,1
1090,6805,1
2558,19716,1
2122,12894,1
2133,17092,1
601,8265,1
1120,5095,1
1142,6050,1
1144,11581,1
2170,19763,1
639,2802,1
133,24185,1
138,24672,1
652,13758,1
163,4353,1
163,12570,1
689,29227,1
2252,15345,1
719,6891,1
2259,18878,1
1241,4716,1
1245,2187,1
1765,24185,1
1776,18854,1
2289,4723,1
1276,4716,1
1795,16330,1
2309,15345,1
1800,29384,1
777,18744,1
1801,24185,1
269,24369,1
270,14191,1
2322,11326,1
1811,1033,1
274,13907,1
1312,5795,1
303,14191,1
306,24422,1
304,23632,1
304,28669,1
1343,23555,1
322,9291,1
836,16330,1
328,13872,1
1866,5005,1
1864,14191,1
850,13948,1
342,14191,1
1879,21521,1
2397,20199,1
1375,6805,1
870,18744,1
1897,23513,1
1393,23785,1
387,3533,1
902,19657,1
1934,14888,1
430,16666,1
1459,17313,1
1977,20626,1
1981,18476,1
1479,2187,1
1991,13078,1
968,2891,1
458,2187,1
1995,13,1
1995,8051,1
465,2528,1
2526,11095,1
2526,19716,1
993,1302,1
2540,7983,1
2540,11095,1
2540,19716,1
2540,23565,1
2540,24338,1
1519,17415,1
1010,2891,1
2550,3253,1
1525,26333,1
1023,22731,1
2563,17380,1
1540,13943,1
520,27009,1
523,2432,1
529,19163,1
2585,339,1
2590,6664,1
1055,14,1
545,339,1
545,27009,1
547,20149,1
2600,4303,1
44,13871,1
1582,13943,1
2097,7237,1
52,27009,1
1589,28382,1
1588,3537,1
2108,15425,1
589,13321,1
2125,19081,1
2125,26483,1
591,24781,1
594,19244,1
88,5443,1
1123,16841,1
2150,27470,1
622,3858,1
2172,12393,1
144,4143,1
149,15162,1
2214,1563,1
679,11778,1
189,339,1
189,27009,1
2239,16874,1
1215,15365,1
205,27009,1
1233,23180,1
723,10251,1
723,14212,1
220,2126,1
220,5843,1
257,22575,1
2310,25211,1
2317,11009,1
276,5494,1
278,339,1
2335,21491,1
1314,21491,1
1316,9895,1
1319,21422,1
2351,26806,1
823,6527,1
316,3858,1
316,27009,1
2365,8255,1
326,3858,1
326,27009,1
1378,17443,1
359,3858,1
359,27009,1
371,14687,1
885,9043,1
376,339,1
376,27009,1
1402,12673,1
898,16724,1
2448,5615,1
2451,3537,1
916,3029,1
410,3858,1
410,27009,1
411,21272,1
929,6430,1
1965,9267,1
436,9490,1
948,3696,1
451,27661,1
1475,15350,1
1475,25173,1
460,339,1
460,27009,1
469,339,1
2005,27470,1
2007,10286,1
2533,4349,1
486,9139,1
490,17714,1
2029,17066,1
1011,21272,1
2036,21017,1
2549,23189,1
1019,10378,1
510,21154,1
2559,27362,1
512,22804,1
1033,28958,1
16,8809,1
2075,6033,1
1052,8903,1
1053,21004,1
2085,593,1
2607,6440,1
2615,1283,1
60,5140,1
69,12154,1
582,27830,1
1630,29036,1
607,1055,1
96,4594,1
2144,2422,1
1122,17056,1
1652,21036,1
123,13593,1
2175,9974,1
135,13815,1
1166,1899,1
1181,11058,1
1183,29470,1
167,1055,1
682,21972,1
177,20043,1
1720,4884,1
1722,18409,1
1722,22325,1
1722,29255,1
190,17458,1
1732,22911,1
1222,17149,1
208,20043,1
210,5032,1
212,202,1
1752,241,1
221,24279,1
1773,22911,1
1777,27341,1
2292,2345,1
1785,7374,1
766,2168,1
775,25702,1
780,5117,1
288,6551,1
1826,13482,1
2363,11551,1
1351,25888,1
845,17334,1
874,5265,1
1907,7419,1
2424,26785,1
1412,11362,1
2442,21004,1
434,21437,1
1460,18434,1
1468,7904,1
1474,5717,1
2503,1899,1
969,23725,1
1482,2768,1
1482,15406,1
1507,29507,1
2031,27539,1
1009,12323,1
2034,10258,1
2038,2168,1
1531,4594,1
2046,7071,1
2047,5536,1
1543,25994,1
2575,195,1
1555,24333,1
532,6351,1
2583,6975,1
2584,2266,1
1561,4606,1
2587,8003,1
2079,5386,1
2604,5398,1
2102,720,1
2614,15513,1
1080,16610,1
2105,7265,1
87,2773,1
1626,14203,1
1143,18116,1
1150,15730,1
1663,22766,1
1671,7789,1
1159,29988,1
1694,20944,1
1190,28866,1
171,21308,1
172,6975,1
1740,5315,1
1236,2413,1
732,10963,1
233,9053,1
2284,16294,1
759,7951,1
2304,3280,1
791,6795,1
282,22952,1
1824,17031,1
806,12503,1
2353,26494,1
824,1887,1
824,11197,1
2370,26879,1
1347,17731,1
323,20420,1
2376,1826,1
2379,17780,1
843,2686,1
843,6386,1
1867,27844,1
2401,22766,1
365,19738,1
2415,14123,1
1391,11384,1
2419,1860,1
884,23392,1
2432,19864,1
1409,11204,1
1409,24610,1
385,7265,1
2435,9501,1
2439,25300,1
908,13431,1
909,28866,1
399,25084,1
914,11853,1
2474,19592,1
2477,2113,1
942,16381,1
947,10794,1
2487,27703,1
2497,10451,1
1480,25876,1
1481,11043,1
1493,14123,1
992,14749,1
2536,23121,1
2541,22397,1
2561,27028,1
1034,18404,1
11,14357,1
11,15678,1
1045,28620,1
1559,3524,1
1562,28232,1
1051,6830,1
2076,8511,1
541,7797,1
550,9561,1
2602,350,1
2098,20236,1
2128,26585,1
2132,27508,1
1622,16547,1
616,3318,1
1646,29573,1
110,493,1
2166,25417,1
641,5712,1
651,2512,1
2209,18991,1
674,7525,1
1188,12240,1
2218,14364,1
1198,15064,1
690,23250,1
1205,14294,1
2234,7797,1
2237,3271,1
1727,16230,1
1735,15289,1
1759,483,1
1760,29219,1
1769,4321,1
2291,493,1
1273,16754,1
768,26448,1
784,4997,1
1810,28557,1
793,4311,1
1307,4810,1
800,5712,1
2382,29765,1
1875,8555,1
2404,11068,1
1388,16337,1
1388,20358,1
366,12986,1
895,4997,1
384,264,1
1411,4311,1
388,28914,1
409,10016,1
2457,16366,1
924,6775,1
1441,16386,1
937,14499,1
2489,12240,1
1466,5292,1
1466,10576,1
453,18765,1
974,5712,1
2519,25395,1
2012,27010,1
1005,2004,1
2030,18418,1
1006,8031,1
1008,6080,1
1524,5896,1
2556,17154,1
2560,8806,1
1047,12270,1
2593,12897,1
2084,12366,1
1575,9414,1
1068,20020,1
2096,4262,1
2096,23081,1
2103,21061,1
2103,28119,1
1592,26496,1
2107,10139,1
1599,22065,1
576,9108,1
2118,20385,1
74,3383,1
602,3859,1
609,26246,1
1145,9426,1
1146,23214,1
634,2300,1
634,21552,1
1147,24787,1
125,16604,1
127,22178,1
1156,15938,1
1669,12676,1
1160,20385,1
2191,9091,1
1184,701,1
2211,4107,1
2215,23081,1
2222,12076,1
1714,7806,1
1714,19199,1
715,9108,1
726,12985,1
1751,8952,1
730,27013,1
1247,23369,1
2282,23081,1
2283,9091,1
749,10923,1
2293,7597,1
249,13127,1
1284,12753,1
1797,22178,1
789,26050,1
280,4370,1
1834,26019,1
1859,19658,1
1859,21146,1
1350,26155,1
1368,1114,1
351,24352,1
1384,2319,1
2413,22050,1
2417,17080,1
2418,9846,1
1909,11956,1
1913,16369,1
2426,11380,1
1918,17229,1
394,6480,1
397,2300,1
2446,18510,1
1426,11975,1
1430,29330,1
1432,23262,1
1947,9742,1
2465,6412,1
2465,14634,1
423,18362,1
1454,3722,1
1454,7905,1
1454,10370,1
949,19658,1
2004,4107,1
1494,965,1
1500,25429,1
996,14659,1
1511,2727,1
485,22699,1
2027,9859,1
2028,4262,1
1538,20322,1
1026,11638,1
1544,8379,1
1036,12006,1
25,16350,1
1600,3693,1
67,20322,1
2114,4843,1
2117,22635,1
2119,7143,1
1107,16996,1
1119,4674,1
612,3953,1
1137,26916,1
1655,6519,1
1655,28569,1
636,9837,1
124,7424,1
2189,97,1
655,6269,1
1687,23813,1
1177,24429,1
1178,14415,1
161,22806,1
164,1800,1
1191,27035,1
1719,4121,1
703,12263,1
705,13715,1
1217,5209,1
195,18730,1
1228,17433,1
1743,3762,1
1748,16635,1
1240,23499,1
1248,6819,1
234,25308,1
237,20458,1
750,14753,1
1778,8379,1
1278,7574,1
1280,21224,1
1288,14999,1
1292,7528,1
1323,15632,1
1331,23522,1
1334,10773,1
334,17280,1
1876,27533,1
341,16687,1
1881,11336,1
2402,16635,1
2402,29134,1
367,21336,1
1921,2179,1
391,22014,1
392,29702,1
1932,29274,1
913,10358,1
2456,27453,1
1954,27538,1
1447,9513,1
2475,7522,1
431,742,1
466,15242,1
2008,9829,1
988,3052,1
991,24429,1
2019,29814,1
2022,18326,1
2542,3192,1
2545,4718,1
508,18446,1
1536,20480,1
2565,7729,1
2059,12182,1
13,7876,1
1050,21434,1
1059,12182,1
1577,22984,1
50,17785,1
55,18657,1
1591,9466,1
1608,6235,1
1619,13877,1
1624,15252,1
93,7274,1
1127,25313,1
1130,18709,1
619,18709,1
1134,16,1
1650,29140,1
1658,25007,1
147,13221,1
1690,15252,1
669,20240,1
683,27160,1
1711,646,1
1208,2912,1
1213,23646,1
1216,25083,1
706,24305,1
1747,10797,1
729,28509,1
2267,18319,1
1763,10516,1
1254,20320,1
1768,29450,1
1774,27401,1
241,26716,1
1266,24524,1
762,20583,1
254,28465,1
774,23238,1
2327,18320,1
2334,14858,1
1326,23335,1
1326,26223,1
2355,6494,1
2359,4493,1
2366,20583,1
2375,2467,1
1865,12319,1
841,16388,1
841,20453,1
2381,10145,1
2386,13435,1
852,408,1
354,4084,1
2428,22722,1
2433,27822,1
899,20194,1
1413,17386,1
1436,21547,1
925,23616,1
1440,5103,1
1451,17799,1
1451,21606,1
1462,19707,1
954,7355,1
970,28534,1
1496,23476,1
475,17718,1
475,20578,1
2527,14467,1
2530,13864,1
1510,23877,1
1521,24786,1
2546,7534,1
1015,8077,1
2554,8830,1
1541,10645,1
1035,12975,1
524,20542,1
2574,19840,1
1551,13263,1
1073,20073,1
565,6170,1
565,9698,1
1092,9774,1
1092,12464,1
588,6128,1
1100,18922,1
590,18279,1
1106,5042,1
597,25820,1
91,15971,1
2140,23907,1
1117,11131,1
99,1097,1
1133,4376,1
2161,6688,1
116,14110,1
134,5114,1
1678,841,1
2193,18279,1
1172,28982,1
660,19535,1
1179,29566,1
681,19513,1
1194,28982,1
1707,18262,1
175,22137,1
2226,18615,1
697,162,1
2235,15454,1
1726,22188,1
713,2073,1
1227,24211,1
1238,9809,1
216,14534,1
226,7934,1
756,12804,1
1780,8226,1
2308,6215,1
271,18398,1
795,4914,1
1825,20916,1
1317,1907,1
1317,4701,1
1837,26068,1
814,13799,1
1851,868,1
320,19991,1
839,7397,1
335,19224,1
2391,29758,1
863,7066,1
352,17040,1
866,2667,1
1380,9805,1
880,6515,1
1396,14910,1
1912,22010,1
1403,18587,1
1403,22998,1
1919,1052,1
1948,784,1
1948,26396,1
935,2308,1
1458,1699,1
1458,20310,1
1470,6469,1
1982,10337,1
1987,24344,1
1476,7222,1
2504,7934,1
989,8345,1
487,11329,1
488,12481,1
1515,23709,1
1007,23572,1
1535,10035,1
1030,27870,1
2072,17320,1
1564,5320,1
1574,27843,1
553,3557,1
2605,2380,1
1070,22163,1
1585,6091,1
58,17886,1
584,27267,1
584,29840,1
1613,22996,1
2127,3148,1
1617,9657,1
1109,9631,1
1114,15860,1
111,6020,1
119,23195,1
2169,6742,1
1673,1605,1
2207,24209,1
671,29149,1
677,3716,1
1737,8017,1
1738,7894,1
1225,12196,1
2254,7625,1
1230,17973,1
1230,25907,1
1770,24414,1
1261,29268,1
1271,29295,1
2297,10301,1
2303,22087,1
2320,27481,1
1813,5535,1
2338,18727,1
808,5320,1
1833,4155,1
2345,9008,1
2345,12696,1
301,28332,1
2350,26994,1
1327,26844,1
2352,10677,1
1842,7560,1
2354,8820,1
308,2805,1
1846,10387,1
1847,27021,1
2360,108,1
849,19229,1
865,17511,1
356,3205,1
1383,16205,1
2434,28891,1
2436,6201,1
1942,6738,1
416,24209,1
932,6573,1
936,26901,1
424,5194,1
1966,1544,1
438,19948,1
953,18974,1
956,6982,1
1983,28009,1
2501,12710,1
2502,25443,1
987,915,1
1503,22121,1
2531,29202,1
2020,4798,1
2539,19998,1
1517,7285,1
2050,25318,1
1028,3797,1
2053,2517,1
2054,17170,1
15,3190,1
2070,13873,1
24,11163,1
2083,7807,1
37,11908,1
2100,16522,1
2110,27273,1
1091,5826,1
2124,14379,1
80,22948,1
1620,5651,1
1111,29703,1
603,7535,1
1643,17782,1
113,16964,1
2167,24776,1
1153,15468,1
2182,8018,1
139,13796,1
1676,3153,1
657,22340,1
1684,25439,1
1173,15111,1
1176,21730,1
2206,2517,1
1197,8831,1
1197,13170,1
2229,8257,1
1721,9046,1
2248,9564,1
2250,28761,1
1226,2655,1
1742,2582,1
2261,10803,1
2263,7093,1
225,21862,1
747,8134,1
1260,14822,1
2290,18400,1
1268,15841,1
1268,22587,1
761,22910,1
1279,20663,1
1793,27387,1
1807,24084,1
2325,19570,1
1818,7386,1
1322,6741,1
1321,13649,1
1849,19456,1
1870,15468,1
847,9663,1
1888,15810,1
2405,17782,1
358,5562,1
876,10603,1
1394,28709,1
2421,26315,1
1399,9741,1
904,3203,1
918,10029,1
1433,6714,1
1946,7654,1
927,14371,1
2467,24083,1
422,24083,1
429,25318,1
2484,22939,1
952,13727,1
957,12220,1
2493,24897,1
960,18900,1
960,27440,1
965,7535,1
1994,3420,1
1996,13191,1
1996,18810,1
2014,6692,1
1506,17782,1
1513,27387,1
2057,15491,1
2073,14374,1
35,736,1
2596,17592,1
39,5487,1
2088,28668,1
1580,1739,1
1072,561,1
561,10934,1
562,1043,1
46,9485,1
1083,7601,1
2153,2271,1
633,2509,1
1666,23326,1
1667,28668,1
1175,11925,1
1180,499,1
157,16264,1
1695,28668,1
686,7074,1
199,13100,1
722,23854,1
2258,10299,1
2269,2202,1
2269,21018,1
742,17230,1
742,23854,1
742,27778,1
1257,5930,1
1263,2681,1
247,25,1
760,23854,1
1787,845,1
1789,10934,1
1792,1739,1
258,25094,1
261,15491,1
1286,25447,1
263,2657,1
773,4443,1
2313,24789,1
2315,13544,1
1806,14857,1
2318,13064,1
2321,28177,1
275,22760,1
2324,16536,1
1304,20834,1
297,10991,1
1839,28125,1
305,27202,1
307,2509,1
2357,5558,1
829,27463,1
1344,2681,1
833,10429,1
2371,4524,1
331,24035,1
2387,15157,1
1364,3924,1
1367,13063,1
1372,22503,1
864,26115,1
2406,7880,1
1408,14465,1
1420,12930,1
396,25,1
1427,11359,1
917,5930,1
2454,7504,1
407,26820,1
2473,9397,1
2473,15139,1
946,2563,1
1973,7563,1
1973,11856,1
1997,25523,1
1999,3680,1
978,7660,1
979,10753,1
2516,10017,1
981,21107,1
2517,19180,1
2537,15447,1
513,21851,1
5,12443,1
2566,27721,1
1032,22510,1
12,27639,1
2071,9396,1
2601,18153,1
572,24684,1
61,29989,1
1096,15445,1
1098,6056,1
1105,22885,1
89,5948,1
1125,13278,1
106,24811,1
1656,4547,1
129,29113,1
146,29848,1
659,29184,1
1698,28908,1
2213,22536,1
1706,22074,1
1207,13838,1
717,2350,1
1753,14365,1
2265,5146,1
2265,29506,1
2272,27446,1
1249,8398,1
1762,4386,1
2279,23749,1
2279,25603,1
1255,23202,1
236,24758,1
248,5152,1
268,27634,1
289,1260,1
807,13278,1
1832,27050,1
1325,18372,1
1342,10867,1
1856,4247,1
1858,699,1
1863,5251,1
2377,6472,1
1359,18976,1
857,26966,1
349,17974,1
1885,20292,1
1374,2776,1
1381,6388,1
873,21816,1
375,11375,1
888,20498,1
378,14220,1
2437,6958,1
390,15445,1
1422,13322,1
2447,21309,1
1938,26578,1
2459,9402,1
419,11375,1
2480,18973,1
1979,4905,1
444,3342,1
1488,1852,1
2511,29113,1
2524,18563,1
2524,29449,1
2525,27048,1
2015,15665,1
2551,16643,1
1528,18973,1
509,10226,1
1537,8189,1
2051,12767,1
4,4991,1
518,23367,1
1020,29242,1
535,16218,1
38,29285,1
41,2177,1
41,13005,1
1066,21453,1
2092,13143,1
2606,12390,1
1594,21786,1
1593,4338,1
574,7945,1
2116,851,1
1606,29525,1
593,24315,1
82,8561,1
85,21842,1
1628,28756,1
97,13730,1
1132,4398,1
624,25736,1
630,21623,1
640,23620,1
1155,9692,1
1674,8442,1
2190,5091,1
654,6125,1
1685,4585,1
162,9765,1
675,5786,1
166,18264,1
1708,16057,1
1204,12926,1
180,1692,1
696,7548,1
1221,16057,1
203,9786,1
1739,22247,1
1745,21060,1
721,13429,1
2262,13380,1
2266,28831,1
1756,4132,1
737,19366,1
2275,29895,1
2276,1877,1
230,18655,1
2285,5091,1
755,17037,1
1269,24021,1
246,23500,1
1782,12433,1
2298,21599,1
2300,28437,1
253,25637,1
256,859,1
256,11663,1
2305,6782,1
2319,7707,1
