ltable_id,rtable_id,label
129,67,1
514,196,1
514,199,1
514,200,1
515,199,1
393,149,1
143,289,1
424,71,1
427,138,1
428,137,1
438,288,1
67,285,1
70,288,1
72,290,1
329,110,1
476,204,1
13,231,1
62,280,1
104,322,1
399,142,1
23,241,1
174,160,1
66,284,1
89,307,1
90,308,1
91,309,1
417,180,1
422,295,1
49,267,1
76,294,1
77,295,1
78,296,1
233,267,1
105,323,1
123,166,1
133,232,1
5,223,1
136,232,1
138,223,1
14,232,1
26,244,1
295,11,1
53,271,1
464,78,1
106,324,1
372,182,1
4,222,1
16,234,1
17,235,1
282,222,1
421,174,1
307,120,1
218,57,1
224,40,1
249,207,1
122,46,1
3,221,1
29,247,1
159,221,1
459,319,1
81,299,1
88,306,1
130,238,1
11,229,1
20,238,1
33,251,1
35,253,1
40,258,1
42,260,1
63,281,1
65,283,1
231,99,1
110,328,1
257,102,1
140,59,1
274,104,1
151,45,1
24,242,1
153,49,1
41,259,1
338,59,1
485,102,1
103,321,1
511,76,1
388,302,1
406,302,1
25,243,1
410,154,1
439,19,1
64,282,1
197,10,1
205,243,1
334,56,1
86,304,1
360,20,1
366,243,1
379,156,1
31,249,1
51,269,1
247,318,1
256,77,1
9,227,1
142,237,1
15,233,1
19,237,1
30,248,1
162,4,1
52,270,1
61,279,1
214,237,1
346,89,1
120,4,1
416,148,1
55,273,1
326,145,1
458,145,1
95,313,1
356,257,1
507,206,1
132,239,1
8,226,1
396,54,1
147,116,1
21,239,1
154,47,1
290,209,1
45,263,1
47,265,1
102,320,1
487,215,1
487,320,1
242,101,1
497,320,1
0,218,1
69,287,1
344,106,1
98,316,1
109,327,1
7,225,1
434,165,1
50,268,1
54,272,1
56,274,1
204,127,1
467,82,1
339,66,1
97,315,1
238,93,1
373,268,1
502,0,1
404,183,1
34,252,1
44,262,1
46,264,1
85,303,1
92,310,1
2,220,1
10,228,1
398,152,1
532,329,1
32,250,1
43,261,1
59,277,1
60,278,1
87,305,1
111,329,1
1,219,1
18,236,1
80,298,1
93,311,1
6,224,1
12,230,1
301,208,1
48,266,1
68,286,1
94,312,1
99,317,1
127,190,1
413,208,0
167,169,0
349,169,0
37,182,0
360,236,0
521,106,0
518,194,0
238,141,0
359,44,0
392,138,0
128,49,0
465,49,0
8,83,0
247,252,0
213,259,0
403,293,0
42,136,0
301,60,0
526,133,0
27,165,0
176,323,0
320,162,0
283,87,0
9,29,0
82,276,0
196,187,0
323,241,0
531,308,0
346,159,0
37,9,0
89,75,0
98,315,0
250,197,0
77,59,0
515,14,0
218,115,0
481,151,0
399,81,0
106,288,0
324,62,0
330,198,0
517,0,0
117,263,0
517,25,0
362,40,0
69,106,0
476,185,0
325,99,0
158,323,0
284,264,0
229,318,0
76,139,0
82,218,0
186,41,0
211,230,0
395,67,0
93,96,0
355,233,0
487,101,0
49,157,0
328,41,0
130,312,0
237,226,0
486,139,0
304,71,0
497,44,0
2,79,0
80,104,0
242,36,0
86,287,0
347,255,0
173,326,0
296,273,0
134,155,0
333,265,0
482,15,0
179,66,0
308,240,0
56,87,0
159,237,0
189,185,0
198,57,0
235,95,0
523,89,0
6,43,0
434,304,0
182,174,0
335,208,0
439,87,0
