ltable_id,rtable_id,label
1409,51560,0
2477,1222,0
4236,27814,0
4823,20588,1
210,19800,0
303,22290,0
1828,15256,0
2694,17169,0
6234,13713,1
3549,19057,0
1625,27515,0
2749,17161,1
5409,20551,0
317,22283,0
6458,18807,1
2742,17206,0
2459,10377,0
1344,10527,0
3360,17651,0
4980,20081,0
3093,22994,1
642,24635,1
4730,17350,0
330,22285,0
1233,21564,0
3944,18970,1
2729,17190,0
2680,27453,0
6314,20460,0
1158,21574,0
836,23706,1
5208,22907,0
2731,17200,0
1623,27506,0
4384,23361,1
3887,16397,1
4610,26152,1
3354,17660,1
1777,20232,1
1736,10938,1
1735,10926,1
3564,19787,0
6724,17069,1
5542,10251,1
5030,21803,0
313,22286,0
1759,27480,0
1784,11758,0
2901,21458,1
341,27491,0
2744,17201,0
2962,22498,0
6345,18442,0
2862,22966,0
5207,22901,0
1184,12106,0
3104,22995,1
289,22313,0
311,22308,0
325,22311,0
3507,23084,1
1570,27494,0
6314,20455,0
3870,23901,1
4326,23361,1
5201,22909,0
1685,23820,0
368,19176,0
1069,11277,1
310,22304,0
4587,26140,1
2959,22498,0
2301,1238,0
6876,13612,0
2702,17183,0
3264,25857,0
