ltable_id,rtable_id,label
73,12888,1
73,25969,1
112,13342,1
6297,24387,1
2283,21775,1
2286,21775,1
2288,23030,1
2289,23030,1
6458,18807,1
6460,18809,1
6465,18814,1
6466,18815,1
6467,18816,1
6470,18807,1
6472,18809,1
6477,18814,1
6478,18815,1
6480,13571,1
6481,16374,1
6484,18814,1
6490,4594,1
6491,13334,1
6492,6864,1
6501,4591,1
6509,2113,1
6575,21167,1
6576,23470,1
6591,23987,1
6601,3675,1
6606,14020,1
6608,240,1
6612,18380,1
6645,12163,1
6647,15370,1
6678,24387,1
6680,17039,1
6686,74,1
6739,26729,1
6764,26780,1
6771,563,1
1050,3680,1
1050,3697,1
1050,3731,1
1327,6228,1
1337,6233,1
1338,6233,1
1339,6226,1
1344,6233,1
1347,6233,1
1408,6233,1
1411,6227,1
1889,17875,1
6846,4238,1
6847,11170,1
6848,958,1
6849,11170,1
6850,11170,1
6851,21253,1
6852,11170,1
6854,11170,1
6855,11170,1
6856,11170,1
6857,11170,1
6859,11170,1
6860,11170,1
1016,26805,1
1017,26805,1
1177,26805,1
1186,26805,1
3288,11170,1
3289,11170,1
3290,11170,1
3291,11170,1
3292,11170,1
3293,11170,1
3294,11170,1
3295,11170,1
3296,26805,1
3298,11170,1
3300,11170,1
3301,11170,1
3306,11170,1
3307,11170,1
3308,11170,1
3309,11170,1
3311,26805,1
3312,11170,1
3313,11170,1
3315,11170,1
3316,11170,1
3318,11170,1
3319,11170,1
3320,11170,1
3321,11170,1
3322,11170,1
3323,11170,1
3324,11170,1
3325,11170,1
3327,11170,1
3328,11170,1
3329,11170,1
3330,11170,1
3331,11170,1
3332,11170,1
3334,26805,1
3337,11170,1
3338,11170,1
3339,11170,1
3340,11170,1
3341,11170,1
3342,11170,1
3343,11170,1
3345,11170,1
3347,11170,1
3348,11170,1
3349,11170,1
3350,11170,1
3351,11170,1
1304,26805,1
3356,11170,1
3357,11170,1
3358,11170,1
3359,11170,1
3360,1166,1
3364,11170,1
3365,11170,1
3367,11170,1
3368,11170,1
3371,11170,1
3372,11170,1
3373,11170,1
3374,11170,1
3375,11170,1
3376,11170,1
3377,11170,1
3378,11170,1
3379,11170,1
3393,11170,1
3394,11170,1
3395,11170,1
3396,11170,1
3397,11170,1
3398,11170,1
3399,11170,1
3400,11170,1
3401,11170,1
3402,11170,1
3403,11170,1
3404,11170,1
3405,11170,1
3406,11170,1
3407,11170,1
3408,11170,1
3409,11170,1
3410,11170,1
3411,11170,1
3412,11170,1
3413,11170,1
3414,11170,1
3415,11170,1
3416,11170,1
3417,11170,1
3418,11170,1
3419,11170,1
3420,11170,1
3421,11170,1
3422,11170,1
3432,11170,1
3433,11170,1
3434,11170,1
3435,11170,1
3436,11170,1
3437,11170,1
3438,11170,1
3439,11170,1
3440,11170,1
3441,11170,1
3442,11170,1
3443,11170,1
3444,11170,1
3445,11170,1
3446,11170,1
3447,11170,1
3448,11170,1
3449,11170,1
3450,11170,1
3451,11170,1
3452,11170,1
3453,11170,1
3454,11170,1
3455,11170,1
3456,11170,1
3457,11170,1
3458,11170,1
3459,11170,1
3460,11170,1
