custom_id,brand,modelno,title,price,dimensions,shipweight
1,Koss,152132,Koss EQ50 3-Band Stereo Equalizer,12.65,7.6 x 4.8 x 1.4 inches,1
2,Kodak,1163641,Kodak Black Ink Cartridge 10B 1163641,10.28,5.3 x 3.2 x 1.2 inches,1
3,Kingston,KTC-D320/1G,Kingston 128MX64 PC2700 COMPAQ Evo D320 KTC-D320 1G,33.75,6.8 x 2.2 x 0.5 inches,1
4,Kinamax,MS-UES2,Kinamax MS-UES2 Mini High Precision USB 3-Button 3D Optical Scroll Wheel Mouse with Retractable Cable Black,6.99,4.3 x 2.8 x 1.3 inches,1
5,Kensington,K72349US,Kensington K72349US Wireless Mouse for Netbooks,24,4.1 x 3.2 x 1.5 inches,1
6,Kensington,K39324US,Kensington BlackBelt Protection Band for iPad 2 K39324US,23.92,11.4 x 7.6 x 0.9 inches,1
7,JUST5,J509black,JUST5 J509 Easy to Use Unlocked Cell Phone with Big Buttons Amplified Sound Personal Emergency Response System Black,64.11,4.0 x 2.0 x 0.6 inches,1
8,Imation,17301,Imation Corp 50PK CDR 700MB 80MIN 52X-SPINDLE 17301,10.29,5.5 x 5.5 x 3.6 inches,2
9,Imation,17340,16x DVD-R Media,6.99,5.5 x 5.5 x 2.2 inches,1.1
10,iGo,AC05065-0001,iGo Arctic Laptop Cooling Pad AC05065-0001,29.99,12.8 x 11.0 x 1.4 inches,2
11,HP,FB343AA#AC3,HP TouchPad Custom Fit Case,25.04,9.8 x 7.8 x 1.1 inches,1
12,HP,CE749A#BGJ,HP LaserJet Pro P1606dn Printer CE749A BGJ,142.99,15.2 x 11.2 x 9.7 inches,19.8
13,HP,CE285A,HP 85A LaserJet Black Toner Print Cartridge - Retail Packaging CE285A,,14.8 x 4.9 x 4.4 inches,2
14,HP,CB524A,HP - Envelope feeder - 75 sheets,267.24,16.8 x 13.0 x 8.2 inches,5
15,Hawking Technology,HOW2R1,Hawking Hi-Gain Outdoor Wireless-300N Dual Radio Smart Repeater,270.99,11.2 x 10.0 x 3.8 inches,5
16,Griffin Technology,GC23090,Griffin Technology PowerJolt SE 2 amp Power Charger for iPad iPhone and iPod Black,14.26,7.1 x 5.0 x 1.2 inches,1
17,Goldtouch,GTC-0033,Goldtouch USB Numeric Keypad Hub - Keypad - USB - 22 keys - white,37.92,6.5 x 5.8 x 1.8 inches,12
18,Garmin,010-00697-41,Garmin Oregon 450t Handheld GPS Navigator,399.86,4.5 x 2.3 x 1.4 inches,1
19,Fujitsu,PA03586-B105,Fujitsu ScanSnap S1500M Instant PDF Sheet-Fed Scanner for the Macintosh,418.99,11.5 x 6.3 x 6.2 inches,10
20,Accessory Genie,,Slim Folding Multi-Position Tablet Stand for Galaxy Tab Motorola XOOM ASUS Eee Pad Transformer and Many Other Tablets Includes Micro USB Cable,14.99,,
21,Energizer,E95FP-8,Energizer Max Alkaline Batteries,14.43,5.3 x 2.7 x 2.4 inches,2.6
22,Emerge Tech,ETIPODUSB,Emerge Tech Retractable USB Cable for iPod White,4.99,6.5 x 4.5 x 1.0 inches,1
23,XO Vision,EI026GP,Ematic 10 in 1 Premium Accessory Kit for iPod Touch 3rd Gen Newest Model,19.99,9.8 x 7.8 x 2.0 inches,2
24,Edge,SD Gaming Cards,EDGE SD Gaming Cards - Flash memory card - 1 GB - 130x - SD,9,,1.6
25,Edge,X5290A-Z-PE,EDGE - Memory - 16 GB 2 x 8 GB - DIMM 240-pin - DDR2 - 667 MHz PC2-5300 - registered - ECC,594.83,,1
26,Edge,D1240-211646-PE,EDGE - Memory - 4 GB - DIMM 240-pin - DDR2 - 667 MHz PC2-5300 - registered - ECC,119.24,,0.5
27,Expo,,Dry Erase Board Cleaning Wet Wipes 6 x 9 50,,,1.9
28,D-Link,DKVM-CB,D-Link DKVM-CB 6 Ft KVM Cable Male to Male Connectors,14.82,11.5 x 6.5 x 1.5 inches,1
29,Zeikos,ZE-CBG7D,Zeikos ZE-CBG7D Battery Power Grip for Canon 7D Camera,66.44,5.0 x 4.0 x 3.0 inches,1
30,Hauppauge,1129,WinTV-HVR-1850 PCIe for Vista White Box PCIe Atsc HD,91.24,10.8 x 7.0 x 2.8 inches,1
31,Western Digital,WDBACW0010HBK-NESN,Western Digital My Book Essential 1 TB USB 3.0 2.0 Desktop External Hard Drive,79.99,6.5 x 5.3 x 1.9 inches,3
32,Verbatim,94583,Verbatim 25PK CD-RW 74MIN 650MB 16X-24X 94583,17.88,5.3 x 5.3 x 1.9 inches,1
33,Verbatim,95145,Verbatim 95145 4.7 GB up to16x White Inkjet Printable Recordable Disc DVD R 100 Disc Spindle,34.98,6.4 x 5.3 x 5.3 inches,4
34,TRENDnet,TU2-ET100,TRENDnet USB to 10 100Mbps Adapter TU2-ET100,17.84,3.2 x 2.1 x 0.9 inches,1
35,TP-Link,TL-ANT2412D,TP-Link NT TL-ANT2412D 2.4G 12dBi,39.75,57.0 x 3.0 x 3.0 inches,3
36,TekNmotion,,TEKNMOTION TM-RCD48WS1 48-DISC WALLET ROUND BLACK WHITE STAR,13,,1.6
37,Targus,AMU59US,TARGUS AMU59US Kaleidoscope Optical Mouse,9.99,8.8 x 5.8 x 3.8 inches,1
38,Motorola,,Talkabout MC220R Two Way Radio,34.74,4.7 x 2.9 x 1.5 inches,1.9
39,Syba,SD-U1IRDA-NM,Syba SD-U1IRDA-NM USB Fast Infra-Red Adapter,11.7,6.0 x 5.0 x 1.5 inches,1
40,SunPak,620-FLEXPROGR,Sunpak Flexpod Digital SLR Tripod Gray,12.95,,10.4
41,StarTech,USB21000S,StarTech.com Compact Black USB 2.0 to Gigabit Ethernet NIC Network Adapter USB21000S,35.23,10.5 x 1.3 x 0.8 inches,1
42,SOLO,CLA110-4,SOLO Sterling Collection iPad or e-Reader or Netbook Sleeve Holds Tablet Device up to 10.2 Inch Netbook Black CLA110-4,14.99,11.0 x 8.0 x 1.0 inches,1
43,Sirius Satellite Radio,SCH1,Sirius connect SCH1 Home Tuner,53.99,7.2 x 5.2 x 2.8 inches,2
44,Sima,SUP-100,Sima USB Multi Cable SUP-100,25.91,12.0 x 5.0 x 1.5 inches,1
