custom_id,brand,modelno,title,price,dimensions,shipweight
1,Draper,121066,Draper Infrared Remote Transmitter,58.45,,2
2,Epson,ELPLP12,Epson 1500 Hours 200W UHE Projector Lamp ELPLP12,438.84,6.75 x 5.75 x 5.5 inches,0.95
3,Comprehensive,BJ-2C7559,Comprehensive Two-Piece 75 Precision BNC Jack for RG-59 Set of 25,59.25,,0.05
4,D-Link,DCS-1100,D-Link DCS-1100 Network Camera,99.82,,
5,StarTech,RKPW247015,StarTech.com RKPW247015 24 Outlet Power Strip,59,72.5 x 2.5 x 1.5 inches,5.25
6,3M,FR530CB,3M FR530CB Ergonomic Adjustable Footrest,67.88,21.6 x 13.5 x 4.05 inches,10.5
7,HP,C6020B,HP C6020B Coated Paper 1 roll 36-inches x 150 ft,49.88,33.98 x 3.83 x 3.83 inches,9.78
8,Visioneer,RW120-WU,Visioneer RW120-WU RoadWarrior Sheetfed Scanner,199.98,11.4 x 2.0 x 1.5 inches,1.85
9,Brother,DK2113,Brother DK2113 QL Label Printers Continuous Length Tape,64.88,4.5 x 4.5 x 3.6 inches,0.55
10,3M,MW310LE,3M MW310LE Gel Mouse Pad,17.88,9.63 x 7.65 x 0.36 inches,0.95
11,LaCie,130935,LaCie Formoa 15  MacBook Carrying Case Black,15,16.1 x 11.5 x 0.9 inches,1.3
12,Draper,116263,Draper High Contrast Grey Targa Electric Screen  - WideScreen 182 diagonal,1730.95,,100
13,Draper,106018,Draper AT1200 Access MultiView Series E Acoustically Transparent Screen - 106 diagonal HDTV to NTSC Format,4375.95,,96
14,Stanley,PC509,Stanley 500 Watt Power Inverter,34.88,9.75 x 5.0 x 2.25 inches,2.6
15,Gear Head,WC1200RED,Gear Head Quick 1.3MP Webcam with Night Vision Red Black,15.98,7.2 x 4.4 x 3.5 inches,1.5
16,Avery,5029,Avery Self-Adhesive Filing Labels 1 3 Cut 3-7 16 x 2 3 Clear 450 Pack,21.47,,0.412
17,XFX,HD685XZNDC,XFX Radeon HD6850 PCIE 1GB DDR5 Graphics Card,195,32.4 x 16.4 x 10.0 inches,1.08
18,SKB Cases,3SKB-1914MR,SKB Cases PH Series Pull Handle Case 11 1 2 H x 21 5 8 W x 16 3 8 D outside,214.99,19.0 x 14.0 x 10.0 inches,14
19,INNOVERA,39701,Innovera CD DVD Pocket with Built-In Label Tab Clear 25 Pack,5.28,,0.386
20,HP,C4890A,HP 80 Ink Printhead Printhead Cleaner Black C4890A,268.79,,1.79
21,Mead,6622,Mead Spiral Bound Notebook College Rule,3.88,,0.837
22,IOGEAR,GCS632UW6,IOGEAR 2-Port MiniView Micro USB PLUS KVM Switch,37.57,10.0 x 7.0 x 3.0 inches,1.15
23,Quartet,2305,Quartet Cork Bulletin Board Natural Cork Fiberboard 60 x 36 Aluminum Frame,91.44,,16.16
24,Avery,,Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack,16.67,,
25,Aluratek,2782753,Aluratek Deluxe Leather Travel Case for the Libre eBook Reader Pro,23.1,6.25 x 4.75 x 1.0 inches,0.5
26,HP,HP CE278A,HP CE278A Black LaserJet Print Cartridge,69.84,1.0 x 1.0 x 1.0 inches,1.8
27,CyberPower,CP1000PFCLCD,Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS,151,13.5 x 11.2 x 6.3 inches,19.15
28,Tribeca,FVA2868,Tribeca Dallas Cowboys 15  Sleeve for MacBook Pros,31.88,15.88 x 12.6 x 1.13 inches,0.85
29,,6644WH,Tablemate Plastic Dinnerware 6 Inch Plates 125pk,18.97,6.0 x 6.0 x 5.7 inches,1.859
30,Vantec,NST-400MX-S2,Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure,49.71,10.0 x 7.0 x 6.0 inches,5
